所在时段,点位名称,点位坐标,点位解说,地址,图片标题,图片来源,对应的展览章节,row_number,status,error,chapter_norm,lon,lat
明清时期,北运河,,天穆村村名取自“天齐庙”和“穆庄子”两村的首字。明永乐二年（1404），浙江钱塘（今余杭）人穆重和随燕王朱棣北狩燕京，后至天津卫北十里的地方占产落庄，置有穆家庄。明嘉靖年间（1522—1566），河南人周氏、单氏在穆家庄村南荒地落户，传说建“天齐庙”并以此为名。,/shuru/zupu.jpg,明万历三十六年（1609）《穆太和族谱》,《天津穆氏族谱》编修委员会收藏,"
ex-01
/
u01-01",4,missing,empty,ex-01/u01-01,,
民国时期,京津公路,（整个公路）,京津公路穿过天穆村，前身为明清驿道和北运河大堤。1921年，道路竣工但仍为土路，在日伪期间延长并改铺为水泥路面单车道。直到五十年代末，天穆村一带随运河转弯的道路裁弯取直，才最终修成线性的一级公路，南段称天穆大道。,/shuru/gonglu.jpg,京津公路建设的报道,《The North-China Daily News》，1938 年 3 月 27 日， 第9版,"ex-02
/
u02-02",16,invalid_json,json.loads failed: Expecting value: line 1 column 1 (char 0),ex-02/u02-02,,
